X,Y,OBJECTID,TYPE,SCHOOL,ADDRESS,SE_ANNO_CAD_DATA,NAME,GRADE,CITY,ZIP,PHONE,WEBSITE,XCOORD,YCOORD,SITE_USE,PRJ_ENRLLMNT
-122.3240519,47.65752826,45,Option Elementary,LATONA ELEM,4057 5th Ave. NE,,John Stanford Int'l,K-5,Seattle,98105,(206) 252-6080,http://stanfordes.seattleschools.org/,1273062.46,243404.1902,Active,
-122.3030145,47.57404525,46,Elementary,KIMBALL ELEM,3200 23rd Ave. S,,Kimball,K-5,Seattle,98144,(206) 252-7280,http://kimballes.seattleschools.org/,1277664.5,212858.33,Active,
-122.3872345,47.5794954,47,Elementary,LAFAYETTE ELEM,2645 California Ave. SW,,Lafayette,K-5,Seattle,98116,(206) 252-9500,http://lafayettees.seattleschools.org/,1256919.88,215254.3101,Active,
-122.2779631,47.66219803,48,Elementary,LAURELHURST ELEM,4530 46th Ave. NE,,Laurelhurst,K-5,Seattle,98105,(206) 252-5400,http://laurelhurstes.seattleschools.org/,1284450.63,244890.66,Active,
-122.3904745,47.65671241,49,Elementary,LAWTON ELEM,4000 27th Ave. W.,,Lawton,K-5,Seattle,98199,(206) 252-2130,http://lawtones.seattleschools.org/,1256690.25,243430.7898,Active,
-122.2918136,47.60210319,50,Elementary,LESCHI ELEM,135 32nd Ave.,,Leschi,K-5,Seattle,98122,(206) 252-2950,http://leschies.seattleschools.org/,1280622.76,223038.45,Active,
-122.3395321,47.69545053,51,Option Elementary,WILSON-PACIFIC,1330 N 90th St.,,Licton Springs K-8,K-8,Seattle,98103,(206) 252-6000,http://lictonspringsk8.seattleschools.org/,1269518.916,257308.5731,Active,
-122.3183789,47.62442342,52,Elementary,LOWELL ELEM,1058 E Mercer St.,,Lowell,K-5,Seattle,98102,(206) 252-3020,http://lowelles.seattleschools.org/,1274227.25,231303.9099,Active,
-122.3902797,47.57298061,53,Middle School,MADISON MIDDLE SCHOOL,3429 45th Ave. SW,,Madison,8-Jun,Seattle,98116,(206) 252-9200,http://madisonms.seattleschools.org/,1256120.38,212893.6199,Active,
-122.2908689,47.61223678,54,Elementary,MADRONA,1121 33rd Ave.,,Madrona,K-5,Seattle,98122,(206) 252-3100,http://madronak8.seattleschools.org/,1280925.79,226729.7501,Active,
-122.3188989,47.55812571,55,Elementary,MAPLE ELEM,4925 Corson Ave. S,,Maple,K-5,Seattle,98108,(206) 252-8310,http://maplees.seattleschools.org/,1273632.25,207127.8001,Active,
-122.2769118,47.54174321,56,Elementary,BRIGHTON ELEM,6725 45th Ave. S,,Martin Luther King Jr,K-5,Seattle,98118,(206) 252-6770,http://kinges.seattleschools.org/,1283885.5,200955.8,Active,
-122.3589552,47.63682628,57,Middle School,MC CLURE MIDDLE SCHOOL,1915 1st Ave. W,,McClure,8-Jun,Seattle,98119,(206) 252-1900,http://mcclurems.seattleschools.org/,1264312.73,236022.8699,Active,
-122.3265954,47.66827561,58,Option Elementary,MC DONALD BLDG,144 NE 54th St.,,McDonald Int'l,K-5,Seattle,98105,(206)252-2900,http://mcdonaldes.seattleschools.org/,1272511.81,247335.87,Active,
-122.2848318,47.63407775,59,Elementary,MC GILVRA ELEM,1617 38th Ave. E.,,McGilvra,K-5,Seattle,98112,(206) 252-3160,http://mcgilvraes.seattleschools.org/,1282564.88,234667.02,Active,
-122.3052447,47.62160315,60,Middle School,MEANY MIDDLE SCHOOL (EAST),301 21st Ave. E,,Meany,8-Jun,Seattle,98112,(206) 413-2100,http://meanyms.seattleschools.org/,1277445.88,230213.1401,Active,
-122.3120832,47.56413274,61,Middle School,MERCER MIDDLE SCHOOL,1600 S Columbian Way,,Mercer Int'l,8-Jun,Seattle,98108,(206) 252-8000,http://mercerms.seattleschools.org/,1275356.93,209286.14,Active,
-122.3042842,47.64063264,62,Elementary,MONTLAKE ELEM,2409 22nd Ave. E.,,Montlake,K-5,Seattle,98112,(206) 252-3300,http://montlakees.seattleschools.org/,1277815.37,237148.64,Active,
-122.2945307,47.70762861,63,High School,NATHAN HALE HIGH SCHOOL,10750 30th Ave. NE,,Nathan Hale,12-Sep,Seattle,98125,(206) 252-3680,http://halehs.seattleschools.org/,1280683.37,261536.2799,Active,
-122.3870355,47.69497451,64,Elementary,NORTH BEACH ELEM,9018 24th Ave. NW,,North Beach,K-5,Seattle,98117,(206) 252-1510,http://northbeaches.seattleschools.org/,1257819.37,257367.53,Active,
-122.329585,47.71486716,65,Elementary,NORTHGATE ELEM,11725 1st Ave. NE,,Northgate,K-5,Seattle,98125,(206) 252-4180,http://northgatees.seattleschools.org/,1272105.73,264341.9901,Active,
-122.3009257,47.60842418,66,Service School,MANN BLDG,2410 E Cherry St.,,Nova,12-Sep,Seattle,98122,(206) 252-3500,http://novahs.seattleschools.org/,1278419.13,225386.4401,Active,
-122.3067555,47.72368616,67,Elementary,OLYMPIC HILLS ELEM,13018 20th Ave. NE,,Olympic Hills,K-5,Seattle,98125,(206) 252-4300,http://olympichillses.seattleschools.org/,1277786.26,267449.8501,Active,
-122.3212579,47.69823172,68,Elementary,OLYMPIC VIEW ELEM,504 NE 95th St.,,Olympic View,K-5,Seattle,98115,(206) 252-5500,http://olympicviewes.seattleschools.org/,1274037.94,258235.3301,Active,
-122.2759564,47.55477873,69,Option Elementary,WHITWORTH ELEM,5215 46th Ave. S,,Orca K-8,K-8,Seattle,98118,(206) 252-6900,http://orcak8.seattleschools.org/,1284210.55,205705.4401,Active,
-122.3579971,47.56360478,70,Option Elementary,COOPER BLDG,1901 SW Genesee St.,,Pathfinder K-8,K-8,Seattle,98106,(206) 252-9710,http://pathfinderk8.seattleschools.org/,1264019.78,209314.78,Active,
-122.265859,47.52407076,72,High School,RAINIER BEACH HIGH SCHOOL,8815 Seward Park Ave S,,Rainier Beach,12-Sep,Seattle,98118,(206) 252-6350,http://rainierbeachhs.seattleschools.org,1286494.98,194459.6201,Active,
-122.2631721,47.49886332,73,Elementary,RAINIER VIEW ELEM,11650 Beacon Ave. S,,Rainier View,K-5,Seattle,98178,(206) 252-6700,http://rainierviewes.seattleschools.org/,1286987.91,185254.0699,Active,
-122.3128095,47.67723139,74,High School,ROOSEVELT HIGH SCHOOL,1410 NE 66th St.,,Roosevelt,12-Sep,Seattle,98115,(206) 252-4810,http://roosevelths.seattleschools.org/,1275970.7,250536.4302,Active,
-122.3074727,47.69844854,76,Elementary,SACAJAWEA ELEM,9501 20th Ave. NE,,Sacajawea,K-5,Seattle,98115,(206) 252-5550,http://sacajaweaes.seattleschools.org/,1277433.42,258249.0801,Active,
-122.3805121,47.67629741,77,Option Elementary,MONROE BLDG,1810 NW 65th St.,,Salmon Bay K-8,K-8,Seattle,98117,(206) 252-1720,http://salmonbayk8.seattleschools.org/,1259288.58,250523.7701,Active,
-122.2629332,47.67365155,78,Elementary,SAND POINT BLDG,6208 60th Ave. NE,,Sand Point,K-5,Seattle,98115,(206) 252-4640,http://sandpointes.seattleschools.org/,1288231.26,248998.6301,Active,
-122.3586581,47.53960839,79,Elementary,SANISLO ELEM,1812 SW Myrtle St.,,Sanislo,K-5,Seattle,98106,(206) 252-8380,http://sanisloes.seattleschools.org/,1263683.15,200566.6899,Active,
-122.2709196,47.52526458,80,Service School,SOUTH LAKE HIGH SCHOOL,8601 Rainier Ave. S,,South Lake,12-Sep,Seattle,98118,(206) 252-6600,http://southlakehs.seattleschools.org/,1285252.97,194918.3199,Active,
-122.2720091,47.52374295,81,Option Elementary,SOUTH SHORE SCHOOL P-8,4800 S Henderson St,,South Shore K-8,K-8,Seattle,98118,(206) 252-7600,http://southshorek8.seattleschools.org/,1284973.46,194368.4099,Active,
-122.3078649,47.63145623,82,Elementary,STEVENS ELEM,1242 18th Ave. E,,Stevens,K-5,Seattle,98112,(206) 252-3400,http://stevenses.seattleschools.org/,1276868.68,233818.9101,Active,
-122.2843002,47.68565546,83,Option Elementary,New Bldg,7712 40th Ave. NE,,Thornton Creek,K-5,Seattle,98115,(206) 252-5300,http://thorntoncreekes.seattleschools.org/,1283050.625,253474.9843,Active,
-122.2998463,47.59095855,84,Elementary,COLMAN SITE,2401 S Irving St.,,Thurgood Marshall,K-5,Seattle,98144,(206) 252-2800,http://marshalles.seattleschools.org/,1278563.94,219011.67,Active,
-122.3241785,47.64228686,85,Option Elementary,SEWARD BLDG,2500  Franklin Ave. E,,TOPS K-8,K-8,Seattle,98102,(206) 252-3510,http://topsk8.seattleschools.org/,1272923.57,237846.3,Active,
-122.2890355,47.52915163,86,Elementary,AFRICAN AMERICAN ACADEMY,8311 Beacon Ave. S,,Van Asselt,K-5,Seattle,98118,(206) 252-7500,http://vanasseltes.seattleschools.org/,1280804.69,196420.06,Active,
-122.2753322,47.68068711,87,Elementary,VIEW RIDGE ELEM,7047 50th Ave. NE,,View Ridge,K-5,Seattle,98115,(206) 252-5600,http://viewridgees.seattleschools.org/,1285225.19,251621.5002,Active,
-122.3611294,47.70597282,88,Elementary,VIEWLANDS ELEM,10525 3rd Ave. NW,,Viewlands,K-5,Seattle,98177,(206) 252-4400,http://viewlandses.seattleschools.org/,1264277.5,261250.83,Active,
-122.3041498,47.59795569,89,Middle School,WASHINGTON MIDDLE SCHOOL,2101 S Jackson St.,,Washington,8-Jun,Seattle,98144,(206) 252-2600,http://washingtonms.seattleschools.org/,1277551,221583.7801,Active,
-122.2970538,47.69053805,90,Elementary,WEDGWOOD ELEM,2720 NE 85th St.,,Wedgwood,K-5,Seattle,98115,(206) 252-5670,http://wedgwoodes.seattleschools.org/,1279943.72,255315.1499,Active,
-122.3734927,47.54176187,91,Elementary,HIGH POINT ELEM,6760 34th Ave. SW,,West Seattle Elementary,K-5,Seattle,98126,(206) 252-9450,http://westseattlees.seattleschools.org/,1260035.42,201425.0198,Active,
-122.384591,47.57677968,92,High School,WEST SEATTLE HIGH SCHOOL,3000 California Ave. SW,,West Seattle High,12-Sep,Seattle,98116,(206) 252-8800,http://westseattlehs.seattleschools.org/,1257552.25,214250.7501,Active,
-122.3622468,47.6705993,93,Elementary,WEST WOODLAND ELEM,5601 4th Ave. NW,,West Woodland,K-5,Seattle,98107,(206) 252-1600,http://westwoodlandes.seattleschools.org/,1263746.12,248355.78,Active,
-122.3776019,47.69675145,94,Middle School,WHITMAN MIDDLE SCHOOL,9201 15th Ave. NW,,Whitman,8-Jun,Seattle,98117,(206) 252-1200,http://whitmanms.seattleschools.org/,1260155.07,257968.81,Active,
-122.3730754,47.68358982,95,Elementary,WHITTIER ELEM,1320 NW 75th St.,,Whittier,K-5,Seattle,98117,(206) 252-1650,http://whittieres.seattleschools.org/,1261173.49,253146.5201,Active,
-122.3092864,47.61337342,97,Service School,MINOR ELEM,1700 E Union St.,,World School,12-Jun,Seattle,98122,(206) 252-2200,http://sws.seattleschools.org/,1276391.75,227230.86,Active,
-122.3423049,47.68635707,98,Elementary,DANIEL BAGLEY ELEM,7821 Stone Ave. N,,Bagley,K-5,Seattle,98103,(206) 252-5110,http://bagleyes.seattleschools.org/home,1268771.17,254005.6001,Active,
-122.3749274,47.53283766,102,Elementary,HUGHES,7740 34th Ave. SW,,Roxhill Elementary at E.C. Hughes,K-5,Seattle,98126,,http://roxhilles.seattleschools.org/,1259615.92,198177.53,Interim,
-122.3223153,47.67724814,113,Option Elementary,JOHN MARSHALL,520 NE Ravenna Blvd.,,Queen Anne (interim at John Marshall),K-5,Seattle,98115,(206)252-3580,http://queenannees.seattleschools.org/,1273629.5,250587.7001,Interim,
-122.3889656,47.68600257,114,Elementary,LOYAL HEIGHTS,7735 25th Ave NW,,Loyal Heights,K-5,Seattle,98117,(206) 252-1500,http://loyalheightses.seattleschools.org/,1257278,254105.1405,Active,
-122.3372911,47.69502397,115,Option Elementary,WILSON-PACIFIC,1700 N 90th St,,Cascadia,K-5,Seattle,98103,(206) 252-5914,http://cascadiaes.seattleschools.org/,1270067.625,257142.2188,Active,
-122.3395321,47.69545053,116,Middle School,WILSON-PACIFIC,1330 N 90th St.,,Robert Eagle Staff,8-Jun,Seattle,98103,(206) 252-0000,http://eaglestaffms.seattleschools.org/,1269518.916,257308.5731,Active,
-122.3508584,47.62141185,117,Option High School,SEATTLE CENTER – CENTER HOUSE,305 Harrison St.,,Center School,12-Sep,Seattle,98109,(206) 252-9850,http://centerhs.seattleschools.org/,1266197.676,230361.8468,Active,
-122.295913,47.53809083,118,Elementary,VAN ASSELT ELEM,7201 Beacon Ave. S,,Wing Luke,K-5,Seattle,98108,,http://lukees.seattleschools.org/,1279167.86,199712.3901,Interim,
